Supplier ID,Supplier name,Contact email,Contact first name,Contact last name,Contact phone,Address,City,Postal code,State-province,Country,Region,Coordinates
Apple,Apple,vasudevan.priya@gmail.com,Priya,Apple,,,New York,10001,NY,USA,Northeast,"40.7128, -74.006"
Sony,Sony,kindira@gmail.com,Indira,Sony,,,Mumbai,400001,Maharashtra,IND,West,"18.9388, 72.8258"
Phoenix,Phoenix,vasudevan.priya@gmail.com,Priya,Phoenix,,,Delhi,110001,Delhi,IND,North,"28.6139, 77.209"
Hitachi,Hitachi,kindira@gmail.com,Indira,Hitachi,,,Bangalore,560001,Karnataka,IND,South,"12.9716, 77.5946"
Canon,Canon,vasudevan.priya@gmail.com,Priya,Canon,,,Hyderabad,500001,Telangana,IND,South,"17.385, 78.4867"
Epson,Epson,kindira@gmail.com,Indira,Epson,,,Los Angeles,90001,CA,USA,West,"34.0522, -118.2437"
Stanely,Stanely,vasudevan.priya@gmail.com,Priya,Stanely,,,Chennai,600001,Tamil Nadu,IND,South,"13.0827, 80.2707"
HP,HP,suja.mohan86@gmail.com,Indira,HP,,,Kolkata,700001,West Bengal,IND,East,"22.5726, 88.3639"
ASHLEY,ASHLEY,vasudevan.priya@gmail.com,Priya,ASHLEY,,,Chicago,60601,IL,USA,Midwest,"41.8781, -87.6298"
Samsung,Samsung,kindira@gmail.com,Indira,Samsung,,,Houston,77001,TX,USA,South,"29.7604, -95.3698"
Godrej,Godrej,vasudevan.priya@gmail.com,Priya,Godrej,,,Phoenix,85001,AZ,USA,West,"33.4484, -112.074"
NCR,NCR,kindira@gmail.com,Indira,NCR,,,Mumbai,400001,Maharashtra,IND,West,"18.9388, 72.8258"
Brothers,Brothers,vasudevan.priya@gmail.com,Priya,Brothers,,,Delhi,110001,Delhi,IND,North,"28.6139, 77.209"
CZUR,CZUR,kindira@gmail.com,Indira,CZUR,,,Bangalore,560001,Karnataka,IND,South,"12.9716, 77.5946"
Inspiron,Inspiron,kindira@gmail.com,Priya,Inspiron,,,London , SW1A 1AA , England ,GBR, South East ,"51.5072, -0.1276"
DURIAN,DURIAN,vasudevan.priya@gmail.com,Indira,DURIAN,,,Manchester , M1 1AE, England ,GBR, North West ,"53.4808, -2.2426"
LG,LG,kindira@gmail.com,Priya,LG,,,Birmingham , B1 1AA , England ,GBR, West Midlands ,"52.4862, -1.8904"
Kores,Kores,suja.mohan86@gmail.com,Indira,Kores,,,Glasgow , G1 1XX , Scotland ,GBR, Scotland ,"55.8642, -4.2518"
Triton,Triton,kindira@gmail.com,Priya,Triton,,,Liverpool , L1 8JQ , England ,GBR, North West ,"53.4084, -2.9916"
Lexmas,Lexmas,vasudevan.priya@gmail.com,Indira,Lexmas,,,Edinburgh , EH1 1BB , Scotland ,GBR, Scotland ,"55.9533, -3.1883"
Fujitsu,Fujitsu,kindira@gmail.com,Priya,Fujitsu,,,London , SW1A 1AA , England ,GBR, South East ,"51.5072, -0.1276"
PGPaper,PGPaper,vasudevan.priya@gmail.com,Indira,PGPaper,,,Manchester , M1 1AE , England ,GBR, North West ,"53.4808, -2.2426"
CalcoPaper,CalcoPaper,suja.mohan86@gmail.com,Priya,CalcoPaper,,,Birmingham , B1 1AA , England ,GBR, West Midlands ,"52.4862, -1.8904"
Domtar,Domtar,vasudevan.priya@gmail.com,Indira,Domtar,,,Glasgow , G1 1XX , Scotland ,GBR, Scotland ,"55.8642, -4.2518"
Verso,Verso,kindira@gmail.com,Priya,Verso,,,San Antonio,78201,TX,USA,South,"29.4241, -98.4936"
Sappi,Sappi,vasudevan.priya@gmail.com,Indira,Sappi,,,San Diego,92101,CA,USA,West,"32.7157, -117.1611"
JKaper,JKaper,kindira@gmail.com,Priya,JKaper,,,Chennai,600001,Tamil Nadu,India,South,"13.0827, 80.2707"
WestCoast,WestCoast,vasudevan.priya@gmail.com,Indira,WestCoast,,,Kolkata,700001,West Bengal,India,East,"22.5726, 88.3639"
ITC,ITC,kindira@gmail.com,Priya,ITC,,,Pune,411001,Maharashtra,India,West,"18.5204, 73.8567"
Bluedart,Bluedart,suja.mohan86@gmail.com,Indira,Bluedart,,,San Francisco,94101,CA,USA,West,"37.7749, -122.4194"
DTDC,DTDC,kindira@gmail.com,Priya,DTDC,,,Mumbai,400001,Maharashtra,IND,West,"18.9388, 72.8258"
FedEx,FedEx,vasudevan.priya@gmail.com,Indira,FedEx,,,Glasgow , G1 1XX , Scotland ,GBR, Scotland ,"55.8642, -4.2518"
